date,value
2020/1/22,
2020/1/23,92
2020/1/24,277
2020/1/25,483
2020/1/26,663
2020/1/27,801
2020/1/28,2631
2020/1/29,576
2020/1/30,2054
2020/1/31,1659
2020/2/1,2088
2020/2/2,4736
2020/2/3,3086
2020/2/4,3987
2020/2/5,3729
2020/2/6,3144
2020/2/7,3522
2020/2/8,2703
2020/2/9,3012
2020/2/10,2516
2020/2/11,2021
2020/2/12,372
2020/2/13,15133
2020/2/14,6460
2020/2/15,2055
2020/2/16,2099
2020/2/17,1918
2020/2/18,1775
2020/2/19,407
2020/2/20,453
2020/2/21,473
2020/2/22,1450
2020/2/23,16
2020/2/24,214
2020/2/25,508
2020/2/26,405
2020/2/27,433
2020/2/28,326
2020/2/29,427
2020/3/1,575
2020/3/2,200
2020/3/3,125
2020/3/4,120
2020/3/5,151
2020/3/6,151
2020/3/7,79
2020/3/8,47
2020/3/9,36
2020/3/10,22
2020/3/11,28
2020/3/12,8
2020/3/13,8
2020/3/14,26
2020/3/15,21
2020/3/16,19
2020/3/17,17
2020/3/18,22
2020/3/19,25
2020/3/20,46
2020/3/21,37
2020/3/22,80
2020/3/23,24
2020/3/24,62
2020/3/25,41
2020/3/26,77
2020/3/27,47
2020/3/28,56
2020/3/29,43
2020/3/30,1575
2020/3/31,174
2020/4/1,77
2020/4/2,87
2020/4/3,95
2020/4/4,59
2020/4/5,103
2020/4/6,67
2020/4/7,158
2020/4/8,106
2020/4/9,94
2020/4/10,62
2020/4/11,111
2020/4/12,149
2020/4/13,61
2020/4/14,140
2020/4/15,103
2020/4/16,103
2020/4/17,398
2020/4/18,68
2020/4/19,66
2020/4/20,46
2020/4/21,73
2020/4/22,35
2020/4/23,45
2020/4/24,43
2020/4/25,34
2020/4/26,28
2020/4/27,46
2020/4/28,47
2020/4/29,37
2020/4/30,31
2020/5/1,9
2020/5/2,
2020/5/3,
2020/5/4,16
2020/5/5,22
2020/5/6,8
2020/5/7,17
2020/5/8,16
2020/5/9,33
2020/5/10,23
2020/5/11,16
2020/5/12,15
2020/5/13,14
2020/5/14,15
2020/5/15,20
2020/5/16,18
2020/5/17,25
2020/5/18,25
2020/5/19,16
2020/5/20,31
2020/5/21,35
2020/5/22,36
2020/5/23,39
2020/5/24,51
2020/5/25,36
2020/5/26,29
2020/5/27,25
2020/5/28,5
2020/5/29,8
2020/5/30,5
2020/5/31,32
2020/6/1,13
2020/6/2,5
2020/6/3,3
2020/6/4,7
2020/6/5,5
2020/6/6,10
2020/6/7,6
2020/6/8,23
2020/6/9,8
2020/6/10,14
2020/6/11,7
2020/6/12,18
2020/6/13,64
2020/6/14,67
2020/6/15,46
2020/6/16,49
2020/6/17,36
2020/6/18,35
2020/6/19,7
2020/6/20,59
2020/6/21,22
2020/6/22,28
2020/6/23,15
2020/6/24,19
2020/6/25,17
2020/6/26,32
2020/6/27,22
2020/6/28,17
2020/6/29,20
2020/6/30,5
2020/7/1,5
2020/7/2,9
2020/7/3,7
2020/7/4,14
2020/7/5,15
2020/7/6,14
2020/7/7,20
2020/7/8,14
2020/7/9,3
2020/7/10,4
2020/7/11,18
2020/7/12,14
2020/7/13,5
2020/7/14,13
2020/7/15,3
2020/7/16,19
2020/7/17,31
2020/7/18,58
2020/7/19,33
2020/7/20,16
2020/7/21,35
2020/7/22,40
2020/7/23,53
2020/7/24,90
2020/7/25,97
2020/7/26,74
2020/7/27,78
2020/7/28,77
2020/7/29,114
2020/7/30,102
2020/7/31,63
2020/8/1,64
2020/8/2,48
2020/8/3,55
2020/8/4,51
2020/8/5,56
2020/8/6,51
2020/8/7,45
2020/8/8,34
2020/8/9,77
2020/8/10,59
2020/8/11,37
2020/8/12,45
2020/8/13,58
2020/8/14,41
2020/8/15,34
2020/8/16,58
2020/8/17,39
2020/8/18,29
2020/8/19,29
2020/8/20,42
2020/8/21,55
2020/8/22,27
2020/8/23,42
2020/8/24,30
2020/8/25,24
2020/8/26,26
2020/8/27,23
2020/8/28,16
2020/8/29,13
2020/8/30,36
2020/8/31,44
2020/9/1,26
2020/9/2,22
2020/9/3,49
2020/9/4,18
2020/9/5,26
2020/9/6,28
2020/9/7,20
2020/9/8,10
2020/9/9,22
2020/9/10,36
2020/9/11,13
2020/9/12,80
2020/9/13,48
2020/9/14,15
2020/9/15,26
2020/9/16,23
2020/9/17,50
2020/9/18,38
2020/9/19,31
2020/9/20,37
2020/9/21,21
2020/9/22,25
2020/9/23,27
2020/9/24,25
2020/9/25,45
2020/9/26,35
2020/9/27,35
2020/9/28,36
2020/9/29,39
2020/9/30,19
2020/10/1,44
2020/10/2,21
2020/10/3,37
2020/10/4,47
2020/10/5,42
2020/10/6,27
2020/10/7,14
2020/10/8,38
2020/10/9,54
2020/10/10,42
2020/10/11,58
2020/10/12,20
2020/10/13,31
2020/10/14,32
2020/10/15,32
2020/10/16,23
2020/10/17,47
2020/10/18,46
2020/10/19,41
2020/10/20,23
2020/10/21,38
2020/10/22,26
2020/10/23,56
2020/10/24,33
2020/10/25,176
2020/10/26,64
2020/10/27,56
2020/10/28,39
2020/10/29,78
2020/10/30,62
2020/10/31,90
2020/11/1,52
2020/11/2,101
2020/11/3,140
2020/11/4,42
2020/11/5,59
2020/11/6,58
2020/11/7,61
2020/11/8,41
2020/11/9,46
2020/11/10,30
2020/11/11,16
2020/11/12,22
2020/11/13,24
2020/11/14,15
2020/11/15,21
2020/11/16,23
2020/11/17,12
2020/11/18,18
2020/11/19,30
2020/11/20,34
2020/11/21,27
2020/11/22,20
2020/11/23,24
2020/11/24,10
2020/11/25,22
2020/11/26,13
2020/11/27,9
2020/11/28,20
2020/11/29,33
2020/11/30,12
2020/12/1,11
2020/12/2,21
2020/12/3,30
2020/12/4,26
2020/12/5,14
2020/12/6,20
2020/12/7,19
2020/12/8,12
2020/12/9,15
2020/12/10,20
2020/12/11,28
2020/12/12,33
2020/12/13,24
2020/12/14,22
2020/12/15,20
2020/12/16,13
2020/12/17,22
2020/12/18,33
2020/12/19,32
2020/12/20,37
2020/12/21,30
2020/12/22,28
2020/12/23,30
2020/12/24,30
2020/12/25,39
2020/12/26,36
2020/12/27,37
2020/12/28,28
2020/12/29,37
2020/12/30,28
2020/12/31,37
2021/1/1,37
2021/1/2,31
2021/1/3,69
2021/1/4,65
2021/1/5,88
2021/1/6,138
2021/1/7,105
2021/1/8,70
2021/1/9,63
2021/1/10,148
2021/1/11,131
2021/1/12,111
2021/1/13,206
2021/1/14,190
2021/1/15,189
2021/1/16,196
2021/1/17,163
2021/1/18,149
2021/1/19,122
2021/1/20,201
2021/1/21,209
2021/1/22,169
2021/1/23,151
2021/1/24,84
2021/1/25,104
2021/1/26,133
2021/1/27,71
2021/1/28,82
2021/1/29,61
2021/1/30,53
2021/1/31,53
2021/2/1,39
2021/2/2,27
2021/2/3,36
2021/2/4,45
2021/2/5,21
2021/2/6,22
2021/2/7,30
2021/2/8,28
2021/2/9,18
2021/2/10,18
2021/2/11,16
2021/2/12,21
2021/2/13,23
2021/2/14,16
2021/2/15,25
2021/2/16,12
2021/2/17,31
2021/2/18,18
2021/2/19,19
2021/2/20,12
2021/2/21,17
2021/2/22,19
2021/2/23,18
2021/2/24,16
2021/2/25,11
2021/2/26,16
2021/2/27,12
2021/2/28,31
2021/3/1,15
2021/3/2,26
2021/3/3,22
2021/3/4,21
2021/3/5,30
2021/3/6,21
2021/3/7,34
2021/3/8,17
2021/3/9,21
2021/3/10,20
2021/3/11,16
2021/3/12,24
2021/3/13,20
2021/3/14,13
2021/3/15,18
2021/3/16,18
2021/3/17,12
2021/3/18,16
2021/3/19,11
2021/3/20,16
2021/3/21,14
2021/3/22,22
2021/3/23,17
2021/3/24,19
2021/3/25,42
2021/3/26,36
2021/3/27,27
2021/3/28,25
2021/3/29,12
2021/3/30,17
2021/3/31,55
2021/4/1,28
2021/4/2,43
2021/4/3,34
2021/4/4,48
2021/4/5,28
2021/4/6,16
2021/4/7,25
2021/4/8,32
2021/4/9,22
2021/4/10,32
2021/4/11,26
2021/4/12,23
2021/4/13,22
2021/4/14,25
2021/4/15,42
2021/4/16,32
2021/4/17,27
2021/4/18,24
2021/4/19,17
2021/4/20,28
2021/4/21,21
2021/4/22,40
2021/4/23,19
2021/4/24,27
2021/4/25,28
2021/4/26,21
